TimeEstimation,TimeReal,clear_description,counting,current_trial,current_type,english_first,user_id_concent,video_really_lasted,TimeOfDay,alone,knew
11.3,8,Clear,No,2262,prosp_hl,Yes,tnetSjXxPhrL0KT,8250,,Yes,
38,48,Completely clear,No,4194,prosp_hl,Yes,pmWstiyXmelsaXy,48289,,Yes,
15,8,Clear,No,2164,prosp_hl,Yes,MxtluuqrwbLlSwk,8258,,Yes,
4,4,Completely clear,No,1404,prosp_hl,Yes,2MTvw753UyBXvUa,4009,,No,
3,1,Clear,No,3818,prosp_hl,No,9xod6j80TwuXhbq,1255,,No,
4,6,Somewhat unclear,No,4247,prosp_hl,Yes,I9pZW6eYtDVpN8b,10778,,No,
3,1,Completely clear,Yes,1962,prosp_hl,Yes,0AK3pzVEj4ckPdj,1252,,No,
35,48,Clear,No,3140,prosp_hl,Yes,LhOnbz4Kuo9Xqrd,48001,,No,
50,64,Completely clear,No,1519,prosp_hl,No,EkWcAAJ9CBDp1UO,64251,,Yes,
2,2,Somewhat unclear,No,2157,prosp_hl,Yes,AC9aTF27NBiUD5G,2004,,No,
10,12,Completely clear,No,2587,prosp_hl,Yes,tJxP4D7D29oV6je,12253,,No,
9,3,Very unclear,No,3806,prosp_hl,Yes,nFIW89dQZyuJoow,3252,,Yes,
55,48,Clear,No,2687,prosp_hl,Yes,ytpFjIZ4kKEhbfD,108867,,Yes,
2,2,Completely clear,Yes,851,prosp_hl,Yes,bLTeUkffSHSq7O6,2503,,Yes,
7,6,Completely clear,No,972,prosp_hl,Yes,SIRbpAy4qJv4bn2,6957,,Yes,
15,16,Completely clear,Yes,2543,prosp_hl,Yes,eGTKq5oNqKVBsrj,16251,,Yes,
35,32,Clear,No,3002,prosp_hl,Yes,7h6OsXX0WJtcu8W,72355,,Yes,
6,4,Clear,No,4010,prosp_hl,Yes,VbGEl4K6TuaXk34,4001,,No,
1,2,Clear,No,4195,prosp_hl,Yes,C1pnh1Y1KdGplrK,2020,,No,
1.4,64,Completely clear,Yes,3449,prosp_hl,Yes,U41jsRnUHuicBOl,64931,,No,
15,12,Completely clear,No,382,prosp_hl,Yes,fKwLkFNnfIAkaPH,12255,,Yes,
1,1,Clear,No,2487,prosp_hl,Yes,nJVLkPikvRnRkGB,1003,,Yes,
30,32,Clear,No,3260,prosp_hl,Yes,mtVvMnqXxukE48t,32255,,No,
1,1,Somewhat unclear,No,3266,prosp_hl,Yes,pKlGnytz1Y6CJ1m,1005,,Yes,
3.6,2,Completely clear,No,3680,prosp_hl,Yes,1CRIMiC76QaKPF2,2210,,Yes,
